Date,Open,High,Low,Close,Volume
16-Jan-15,647.00,654.18,647.00,648.00,21
15-Jan-15,651.12,653.00,646.15,653.00,13
14-Jan-15,638.00,657.02,638.00,654.49,171
13-Jan-15,636.00,648.24,636.00,648.02,159
12-Jan-15,635.24,643.00,635.24,641.18,12
9-Jan-15,645.66,651.00,630.90,641.33,85
8-Jan-15,643.97,651.00,643.97,650.50,14
7-Jan-15,645.26,654.17,645.26,648.80,67
6-Jan-15,646.15,646.15,642.10,646.00,15
5-Jan-15,655.00,655.00,647.15,651.00,74
2-Jan-15,647.20,655.00,644.92,655.00,95
30-Dec-14,-,-,-,650.00,0
29-Dec-14,638.00,650.00,633.25,650.00,132
23-Dec-14,636.00,640.24,636.00,640.24,20
22-Dec-14,641.50,645.60,636.00,645.00,29
19-Dec-14,633.25,642.92,633.25,642.69,10
18-Dec-14,635.24,644.76,634.41,638.00,6
17-Dec-14,635.24,644.00,635.24,644.00,1
16-Dec-14,-,-,-,645.20,0
15-Dec-14,635.00,648.50,635.00,645.20,61
12-Dec-14,644.66,644.66,634.48,643.00,6
11-Dec-14,648.00,648.00,643.69,648.00,21
10-Dec-14,641.50,648.50,637.24,648.50,121
9-Dec-14,643.24,644.50,638.50,638.50,32
8-Dec-14,641.80,644.90,641.80,644.24,12
5-Dec-14,642.66,644.59,641.80,644.51,55
4-Dec-14,638.71,644.65,638.71,642.85,53
3-Dec-14,643.00,644.50,638.72,643.50,56
2-Dec-14,640.61,643.00,635.00,643.00,10
1-Dec-14,645.00,645.00,640.61,645.00,10
28-Nov-14,636.44,643.02,636.44,642.00,3
27-Nov-14,641.18,647.62,640.70,641.22,75
26-Nov-14,-,-,-,643.00,0
25-Nov-14,633.00,643.00,633.00,643.00,23
24-Nov-14,645.00,645.00,633.00,635.41,71
21-Nov-14,640.12,640.12,635.74,640.12,12
20-Nov-14,641.54,643.73,640.12,641.43,60
19-Nov-14,642.37,642.37,641.00,641.00,6
18-Nov-14,636.16,644.56,636.16,644.56,146
17-Nov-14,640.62,640.93,640.62,640.93,9
14-Nov-14,640.62,641.10,640.62,641.10,5
13-Nov-14,634.68,648.00,634.68,645.20,21
12-Nov-14,638.42,648.22,638.42,639.44,134
11-Nov-14,638.42,648.00,638.42,645.20,16
10-Nov-14,642.00,647.50,637.22,647.50,4
7-Nov-14,639.41,647.93,639.41,647.01,13
6-Nov-14,637.72,643.35,637.72,642.00,43
5-Nov-14,636.45,646.00,636.45,642.50,21
4-Nov-14,636.45,645.00,636.45,640.54,23
3-Nov-14,640.00,643.00,635.75,643.00,17
31-Oct-14,630.54,640.12,630.54,640.12,62
30-Oct-14,630.54,640.25,630.54,640.25,20
29-Oct-14,630.54,638.26,630.54,638.00,28
28-Oct-14,620.69,640.45,620.69,640.45,57
27-Oct-14,625.62,630.65,619.40,630.65,30
24-Oct-14,623.64,629.99,620.76,620.76,12
23-Oct-14,582.92,630.00,582.92,628.31,114
22-Oct-14,565.52,584.40,565.52,584.40,17
21-Oct-14,566.75,574.33,566.75,574.33,8
20-Oct-14,560.00,571.00,555.83,571.00,106
17-Oct-14,545.86,560.84,545.86,560.84,19
16-Oct-14,561.00,561.00,540.00,540.00,190
15-Oct-14,575.85,575.85,560.00,561.31,84
14-Oct-14,576.05,576.05,572.65,574.58,20
13-Oct-14,577.38,580.37,572.24,580.37,40
10-Oct-14,591.13,591.13,576.54,579.50,83
9-Oct-14,602.00,602.00,595.00,602.00,2
8-Oct-14,592.00,596.00,589.00,595.08,81
7-Oct-14,598.50,599.20,591.60,595.24,47
6-Oct-14,606.20,606.20,598.00,602.82,47
2-Oct-14,602.12,602.12,600.11,600.11,37
1-Oct-14,599.00,607.16,599.00,606.00,20
30-Sep-14,602.00,609.74,602.00,602.00,51
29-Sep-14,604.00,610.00,602.00,605.00,23
26-Sep-14,-,-,-,604.40,0
25-Sep-14,600.00,610.00,600.00,604.40,41
24-Sep-14,600.00,605.50,600.00,602.00,10
23-Sep-14,600.00,602.20,600.00,602.20,10
22-Sep-14,600.00,602.51,600.00,601.00,40
19-Sep-14,598.48,600.32,598.48,600.32,1
18-Sep-14,599.69,601.60,599.69,601.60,15
17-Sep-14,600.50,600.50,599.50,599.50,44
16-Sep-14,601.50,601.51,600.54,601.50,13
15-Sep-14,603.00,603.00,601.70,602.64,11
12-Sep-14,600.00,603.00,600.00,603.00,26
11-Sep-14,600.00,604.00,600.00,604.00,52
10-Sep-14,600.99,604.00,600.99,602.75,104
9-Sep-14,-,-,-,608.00,0
8-Sep-14,605.00,608.00,600.41,608.00,48
5-Sep-14,600.00,603.03,598.47,600.50,175
4-Sep-14,592.37,600.50,592.37,600.50,41
3-Sep-14,602.65,602.65,592.37,592.50,11
2-Sep-14,601.02,607.85,600.00,607.17,80
1-Sep-14,605.00,605.00,593.00,593.00,30
29-Aug-14,610.00,610.00,592.55,603.00,70
28-Aug-14,-,-,-,604.00,0
27-Aug-14,602.12,604.00,602.00,604.00,31
26-Aug-14,600.58,602.12,600.58,602.09,2
25-Aug-14,606.48,612.00,600.58,608.52,150
22-Aug-14,600.54,606.52,600.54,606.52,1
21-Aug-14,603.00,607.00,598.51,600.65,10
20-Aug-14,595.96,599.99,595.96,599.99,7
19-Aug-14,598.24,598.24,595.96,598.18,3
18-Aug-14,592.94,599.34,592.94,599.34,58
15-Aug-14,592.00,599.36,592.00,595.24,72
14-Aug-14,591.10,594.76,590.00,590.00,84
13-Aug-14,591.10,597.00,591.10,594.25,19
12-Aug-14,591.67,598.22,591.67,594.93,44
11-Aug-14,599.00,600.00,591.67,595.88,56
8-Aug-14,589.36,592.54,589.36,592.54,10
7-Aug-14,596.00,596.00,593.00,593.78,9
6-Aug-14,605.88,605.90,596.00,598.40,14
5-Aug-14,593.24,615.00,593.24,610.42,127
4-Aug-14,603.00,603.00,591.00,591.00,58
1-Aug-14,610.00,610.00,595.50,595.50,98
31-Jul-14,-,-,-,620.96,0
30-Jul-14,625.46,625.96,620.91,620.96,24
29-Jul-14,623.00,625.46,623.00,623.33,27
28-Jul-14,-,-,-,624.75,0
25-Jul-14,624.17,625.60,623.00,624.75,4
24-Jul-14,625.47,625.47,623.29,623.95,20
23-Jul-14,623.00,627.50,623.00,627.50,1
22-Jul-14,623.42,628.00,623.23,625.16,66
21-Jul-14,-,-,-,626.37,0
18-Jul-14,620.35,627.50,620.35,626.37,20
17-Jul-14,621.02,625.00,621.02,625.00,1
16-Jul-14,-,-,-,620.66,0
15-Jul-14,614.54,620.66,614.54,620.66,20
14-Jul-14,626.37,626.37,614.80,619.15,23
11-Jul-14,626.25,627.75,624.95,625.68,51
10-Jul-14,625.48,627.70,625.00,627.70,20
9-Jul-14,-,-,-,628.23,0
8-Jul-14,627.30,628.23,627.30,628.23,10
7-Jul-14,630.37,632.00,630.26,632.00,16
4-Jul-14,629.54,632.00,629.54,632.00,40
3-Jul-14,632.68,633.74,629.54,633.74,10
2-Jul-14,630.00,639.29,628.22,639.29,51
1-Jul-14,620.35,626.00,620.35,626.00,21
30-Jun-14,618.86,626.50,618.86,625.00,31
27-Jun-14,624.50,624.50,623.46,623.50,21
26-Jun-14,625.67,627.45,624.00,627.45,11
25-Jun-14,-,-,-,628.50,0
24-Jun-14,623.32,631.50,623.32,628.50,69
23-Jun-14,622.44,628.00,620.97,628.00,22
20-Jun-14,622.27,627.00,620.69,626.91,7
19-Jun-14,622.79,625.60,622.20,623.64,48
18-Jun-14,619.29,626.56,619.29,625.80,36
17-Jun-14,624.00,624.10,617.00,617.00,34
16-Jun-14,626.54,631.00,624.00,624.50,22
13-Jun-14,628.62,628.62,626.54,627.70,10
12-Jun-14,627.40,628.59,627.40,628.59,10
11-Jun-14,625.48,631.00,625.48,631.00,16
10-Jun-14,625.67,632.81,625.48,625.69,98
9-Jun-14,-,-,-,630.00,0
6-Jun-14,621.50,630.00,621.00,630.00,63
5-Jun-14,628.00,629.00,623.33,629.00,9
4-Jun-14,625.40,628.40,623.72,628.40,9
3-Jun-14,625.29,629.25,624.67,625.21,24
2-Jun-14,624.42,628.93,624.42,625.00,75
30-May-14,625.02,625.10,624.08,624.08,15
29-May-14,624.10,627.50,624.10,627.50,3
28-May-14,627.69,628.40,623.00,623.00,55
